positionid,city,companyFullName,companyLabelList,district,education,firstType,formatCreateTime,positionName,salary,workYear
5868896,北京,北京金堤科技有限公司,"['专项奖金', '股票期权', '带薪年假', '定期体检']",海淀区,本科,开发|测试|运维类,10:47发布,python开发工程师,15k-25k,不限
5389064,上海,上海庆科信息技术有限公司,"['互联网风口', '物联网、高新', 'Wi-Fi', '午餐补助']",普陀区,本科,开发|测试|运维类,08:43发布,Python开发工程师,18k-25k,1-3年
5912129,杭州,杭州慧川智能科技有限公司,"['弹性工作', '年度旅游', '帅哥多', '美女多']",西湖区,大专,开发|测试|运维类,14:09发布,Python开发工程师,13k-20k,3-5年
5949471,北京,北京数美时代科技有限公司,"['年底双薪', '大数据', '带薪年假', '通讯津贴']",朝阳区,本科,开发|测试|运维类,1天前发布,python研发工程师,10k-20k,应届毕业生
5924120,长沙,开易（北京）科技有限公司,"['年底双薪', '绩效奖金', '带薪年假', '股票期权']",开福区,本科,开发|测试|运维类,10:09发布,python开发工程师,10k-18k,不限
5979959,成都,成都爱找我科技有限公司,[],锦江区,本科,开发|测试|运维类,09:58发布,python,10k-20k,5-10年
3222466,郑州,郑州创恒实业有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",金水区,大专,开发|测试|运维类,09:20发布,Python开发工程师,5k-10k,1-3年
5980852,北京,优维科技（深圳）有限公司,"['年底双薪', '午餐补助', '股票期权', '弹性工作']",朝阳区,本科,开发|测试|运维类,11:00发布,python开发工程师,11k-20k,1-3年
5982521,广州,广州微宽信息技术有限公司,[],海珠区,大专,开发|测试|运维类,16:18发布,Python开发工程师,15k-20k,3-5年
5959430,深圳,深圳市客路网络科技有限公司,"['零食水果供应', '带薪年假', '绩效奖金', '扁平管理']",福田区,本科,开发|测试|运维类,2天前发布,Python工程师,10k-20k,1-3年
5992144,北京,北京五八到家信息技术有限公司,"['节日礼物', '技能培训', '股票期权', '免费班车']",朝阳区,本科,开发|测试|运维类,15:47发布,python开发工程师,15k-30k,3-5年
5991452,北京,北京智胜新格科技有限公司,"['绩效奖金', '定期体检', '弹性工作', '节日礼物']",海淀区,本科,开发|测试|运维类,14:41发布,python开发（海外游戏）,15k-30k,3-5年
5983161,上海,简阳联盟凯睿企业管理有限公司,"['带薪年假', '定期体检', '股票期权', '美女多']",黄浦区,本科,开发|测试|运维类,1天前发布,python开发,15k-30k,3-5年
5984719,北京,北京币世界网络科技有限公司,"['岗位晋升', '五险一金', '节日礼物']",朝阳区,本科,开发|测试|运维类,1天前发布,python开发工程师,17k-34k,3-5年
5988229,北京,柔持（北京）科技有限公司,"['交通补助', '午餐补助', '绩效奖金', '通讯津贴']",朝阳区,本科,开发|测试|运维类,11:00发布,Python开发工程师 (MJ000056),25k-35k,5-10年
5482153,北京,北京旷视科技有限公司,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",海淀区,本科,开发|测试|运维类,2019-05-21,高级python开发工程师,25k-50k,1-3年
5926852,北京,北京思维造物信息科技有限公司,"['扁平管理', '帅哥多', '领导好', '美女多']",朝阳区,本科,开发|测试|运维类,2天前发布,python开发工程师（安全方向）,25k-50k,3-5年
5946526,北京,北京汇游科技有限公司,"['技能培训', '带薪年假', '绩效奖金', '年度旅游']",朝阳区,本科,开发|测试|运维类,2019-05-24,python开发工程师,15k-20k,3-5年
5979952,北京,维恩贝特科技有限公司,"['年底双薪', '五险一金', '通讯津贴', '交通补助']",西城区,本科,开发|测试|运维类,16:16发布,Python工程师,8k-16k,不限
5983714,上海,上海诺诺镑客金融信息服务有限公司,"['晋升快速', '年终分红', '管理扁平', '股票期权']",浦东新区,本科,开发|测试|运维类,09:03发布,Python高级工程师,20k-35k,5-10年
4151403,上海,上海寻梦信息技术有限公司,"['股票期权', '专项奖金', '弹性工作', '扁平管理']",长宁区,本科,开发|测试|运维类,1天前发布,高级Python开发工程师,20k-40k,1-3年
3613383,郑州,郑州创恒实业有限公司,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",金水区,大专,开发|测试|运维类,09:20发布,高级Python开发工程师,7k-10k,1-3年
761479,深圳,深圳市易博天下科技有限公司,"['年底双薪', '股票期权', '带薪年假', '创业公司范儿']",南山区,大专,开发|测试|运维类,2019-05-22,Python开发工程师,13k-25k,1-3年
5447571,杭州,杭州费尔斯通科技有限公司,"['股票期权', '弹性工作', '扁平管理', 'HSMAP']",滨江区,本科,开发|测试|运维类,10:08发布,资深Python工程师,15k-25k,3-5年
5497234,郑州,河南象聚实业集团有限公司,"['定期体检', '派对旅游', '六险一金', '绩效奖金']",高新区,本科,开发|测试|运维类,2天前发布,Python 高级工程师,10k-18k,5-10年
5991410,北京,锐波（北京）科技有限公司,"['股票期权', '扁平管理', '美女多', '五险一金']",海淀区,本科,开发|测试|运维类,14:37发布,高级python开发工程师,25k-50k,5-10年
5980903,深圳,北京国双科技有限公司,"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",福田区,本科,开发|测试|运维类,2天前发布,高级Python研发工程师,13k-25k,1-3年
1908382,北京,北京一人一亩田网络科技有限公司,"['节日礼物', '年底双薪', '专项奖金', '股票期权']",海淀区,本科,开发|测试|运维类,1天前发布,Python后端研发工程师,15k-30k,3-5年
5984536,武汉,精硕科技(北京)股份有限公司,"['技能培训', '年底双薪', '带薪年假', '岗位晋升']",东湖新技术开发区,本科,开发|测试|运维类,15:43发布,高级 Python 工程师,15k-20k,3-5年
5209068,武汉,智线云科技（北京）有限公司,"['绩效奖金', '股票期权', '领导好', '扁平管理']",洪山区,本科,开发|测试|运维类,2天前发布,高级python工程师,10k-18k,3-5年
4090850,北京,北京旷视科技有限公司,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",海淀区,本科,开发|测试|运维类,1天前发布,Python后端开发工程师,25k-50k,3-5年
5980757,深圳,北京国双科技有限公司,"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",福田区,本科,开发|测试|运维类,2天前发布,资深Python研发工程师,20k-40k,3-5年
5667913,深圳,深圳市易博天下科技有限公司,"['年底双薪', '股票期权', '带薪年假', '创业公司范儿']",南山区,大专,开发|测试|运维类,2019-05-24,资深Python开发工程师,20k-28k,5-10年
5549235,武汉,智线云科技（北京）有限公司,"['绩效奖金', '股票期权', '领导好', '扁平管理']",洪山区,本科,开发|测试|运维类,2天前发布,中级Java/PHP/Python工程师,8k-13k,3-5年
5924855,北京,北京国研网信息股份有限公司,"['专项奖金', '年终分红', '定期体检', '弹性工作']",东城区,硕士,开发|测试|运维类,2天前发布,高级python开发工程师,22k-27k,3-5年
